cohort_month,order_month,customer_unique_id,order_id,payment_value,cohort_index
2016-10,2016-10,262,265,46566.71,0
2016-10,2017-04,1,1,111.3,6
2016-10,2017-07,1,1,356.13,9
2016-10,2017-09,1,1,56.78,11
2016-10,2017-11,1,1,163.53,13
2016-10,2018-01,1,1,381.0,15
2016-10,2018-03,1,1,116.57,17
2016-10,2018-05,2,2,384.01000000000005,19
2016-10,2018-06,2,2,181.37,20
2016-12,2016-12,1,1,19.62,0
2016-12,2017-01,1,1,19.62,1
2017-01,2017-01,717,749,127526.05,0
2017-01,2017-02,2,2,111.07000000000001,1
2017-01,2017-03,2,2,114.69999999999999,2
2017-01,2017-04,1,1,89.7,3
2017-01,2017-05,3,3,246.25,4
2017-01,2017-06,1,1,69.33,5
2017-01,2017-07,3,3,448.43,6
2017-01,2017-08,1,1,105.17,7
2017-01,2017-09,1,1,47.05,8
2017-01,2017-11,3,3,427.05,10
2017-01,2017-12,1,1,66.6,11
2017-01,2018-01,5,5,552.45,12
2017-01,2018-02,3,3,351.65,13
2017-01,2018-03,1,1,93.7,14
2017-01,2018-04,1,1,104.61,15
2017-01,2018-05,2,2,219.35000000000002,16
2017-01,2018-06,3,3,354.43,17
2017-01,2018-08,1,1,50.93,19
2017-02,2017-02,1628,1651,271187.58,0
2017-02,2017-03,3,3,481.68,1
2017-02,2017-04,5,5,570.63,2
2017-02,2017-05,2,2,118.72999999999999,3
2017-02,2017-06,7,7,1151.96,4
2017-02,2017-07,2,2,74.21000000000001,5
2017-02,2017-08,4,4,688.92,6
2017-02,2017-09,3,3,274.3,7
2017-02,2017-10,2,2,464.61,8
2017-02,2017-11,3,3,385.35,9
2017-02,2017-12,2,2,343.22,10
2017-02,2018-01,5,5,454.39,11
2017-02,2018-02,2,2,279.24,12
2017-02,2018-03,3,3,397.11,13
2017-02,2018-04,2,2,181.66,14
2017-02,2018-05,1,1,136.79,15
2017-02,2018-06,1,1,291.68,16
2017-02,2018-07,3,3,369.65,17
2017-03,2017-03,2503,2541,413773.01,0
2017-03,2017-04,11,12,1623.63,1
2017-03,2017-05,9,9,1737.1200000000001,2
2017-03,2017-06,10,12,1836.1000000000001,3
2017-03,2017-07,9,9,1213.97,4
2017-03,2017-08,4,4,1433.3899999999999,5
2017-03,2017-09,4,4,689.18,6
2017-03,2017-10,8,8,887.42,7
2017-03,2017-11,8,8,1385.61,8
2017-03,2017-12,2,2,237.96,9
2017-03,2018-01,9,9,725.9300000000001,10
2017-03,2018-02,3,3,380.29999999999995,11
2017-03,2018-03,5,5,907.29,12
2017-03,2018-04,3,3,238.57999999999998,13
2017-03,2018-05,4,4,687.41,14
2017-03,2018-06,6,6,717.5500000000001,15
2017-03,2018-07,2,2,203.88,16
2017-03,2018-08,3,3,308.56,17
2017-04,2017-04,2256,2284,388556.92,0
2017-04,2017-05,14,15,2937.0,1
2017-04,2017-06,5,6,940.4000000000001,2
2017-04,2017-07,4,5,758.21,3
2017-04,2017-08,6,6,1158.3,4
2017-04,2017-09,6,6,1208.34,5
2017-04,2017-10,8,9,2083.83,6
2017-04,2017-11,7,7,1096.55,7
2017-04,2017-12,7,7,963.99,8
2017-04,2018-01,4,4,499.82000000000005,9
2017-04,2018-02,6,6,694.78,10
2017-04,2018-03,2,2,343.16999999999996,11
2017-04,2018-04,1,1,175.13,12
2017-04,2018-05,1,1,271.64,13
2017-04,2018-06,2,2,301.83,14
2017-04,2018-07,2,2,272.63,15
2017-04,2018-08,3,4,962.61,16
2017-05,2017-05,3451,3517,562027.63,0
2017-05,2017-06,16,17,1931.57,1
2017-05,2017-07,16,16,2857.55,2
2017-05,2017-08,10,10,1835.74,3
2017-05,2017-09,10,10,1219.04,4
2017-05,2017-10,11,12,1638.47,5
2017-05,2017-11,14,16,3002.2599999999998,6
2017-05,2017-12,5,5,608.02,7
2017-05,2018-01,9,9,1623.52,8
2017-05,2018-02,9,11,1353.84,9
2017-05,2018-03,9,9,1459.06,10
2017-05,2018-04,12,12,1438.3600000000001,11
2017-05,2018-05,8,8,1056.81,12
2017-05,2018-06,1,1,62.33,13
2017-05,2018-07,6,6,665.1,14
2017-05,2018-08,7,7,746.4200000000001,15
2017-06,2017-06,3037,3092,484296.24,0
2017-06,2017-07,15,16,2162.0,1
2017-06,2017-08,12,13,2142.0299999999997,2
2017-06,2017-09,13,13,1484.8700000000001,3
2017-06,2017-10,9,10,1434.43,4
2017-06,2017-11,12,12,1595.53,5
2017-06,2017-12,11,11,1601.41,6
2017-06,2018-01,7,7,822.86,7
2017-06,2018-02,4,4,346.26,8
2017-06,2018-03,6,6,497.3,9
2017-06,2018-04,9,9,2232.08,10
2017-06,2018-05,11,12,2063.0,11
2017-06,2018-06,5,5,513.44,12
2017-06,2018-07,5,6,1047.89,13
2017-06,2018-08,7,10,2454.39,14
2017-07,2017-07,3752,3820,558533.43,0
2017-07,2017-08,20,22,3070.5,1
2017-07,2017-09,13,13,1307.59,2
2017-07,2017-10,9,9,1156.3200000000002,3
2017-07,2017-11,11,13,1281.37,4
2017-07,2017-12,8,8,1865.65,5
2017-07,2018-01,12,12,2553.19,6
2017-07,2018-02,4,4,250.36,7
2017-07,2018-03,7,8,413.96,8
2017-07,2018-04,10,11,2071.11,9
2017-07,2018-05,8,8,1163.02,10
2017-07,2018-06,11,12,1264.8500000000001,11
2017-07,2018-07,5,5,1409.3799999999999,12
2017-07,2018-08,9,9,876.49,13
2017-08,2017-08,4057,4133,635566.56,0
2017-08,2017-09,28,29,5056.77,1
2017-08,2017-10,14,16,2229.03,2
2017-08,2017-11,11,11,1014.62,3
2017-08,2017-12,14,14,1755.13,4
2017-08,2018-01,21,23,2883.84,5
2017-08,2018-02,12,12,1864.71,6
2017-08,2018-03,11,11,1949.83,7
2017-08,2018-04,6,6,1800.03,8
2017-08,2018-05,6,6,1204.9099999999999,9
2017-08,2018-06,10,10,1460.1599999999999,10
2017-08,2018-07,8,8,1825.6,11
2017-08,2018-08,5,5,595.78,12
2017-09,2017-09,4004,4070,689826.07,0
2017-09,2017-10,28,28,3659.34,1
2017-09,2017-11,22,22,3182.57,2
2017-09,2017-12,11,15,1661.37,3
2017-09,2018-01,18,18,3226.19,4
2017-09,2018-02,9,13,2055.95,5
2017-09,2018-03,9,9,1067.34,6
2017-09,2018-04,10,10,965.3299999999999,7
2017-09,2018-05,11,11,1168.15,8
2017-09,2018-06,7,7,695.8,9
